Наименование;"Название артикула";Артикул;Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"На складе";"Ссылка на витрину";"Тип товаров";Заголовок;"META Keywords";"META Description";"Краткое описание";Описание;"Порядок сортировки товаров";Теги;"Облагается налогом";"На складе @Харьков";"На складе @Киев";Страны;Места;Цвет;"Высота, мм";"Длина, мм";"Диаметр, мм";Тип;Бренд;Материал;Бренд;"Яркость, люменов";Светодиод;"Дальность, м";"Элементы питания";"Режимы яркости";"Диаметр головы, мм";"Материал корпуса";Водонепроницаемость;Тип;Назначение;"Вес, г";"Тип замка";Бренд;Бренд;Тип;Тип;Серия
" Фонарь Fenix E01 Nichia white GS";желтый;"E01y  ";UAH;163;1;0;0;;fenix-e01-nichia-white-gs;Фонари;"Фонарик Fenix E01";"фонарик, Fenix, E01";"Fenix E01. Технические характеристики и описание.";" Фонарь  можно использовать как стильный и практичный брелок. В комплект входит кольцо для ключей. В ассортименте 5 различных цветов. Максимально простое включение с помощью поворота головной части.";"<h3>Описание:</h3>
<p> 
Фонарь Fenix E01 один из самых компактных фонарей-брелков. 
Фонарик можен непрерывно светить более 20 часов, работая на одной микропальчиковой батарейке (ААА).
Модель можно всгда носить с собой, использовать на ключах в качестве удобного брелка. Кроме того, фонарик Fenix E01 станет полезным и надежным подарком.&nbsp;</p><p>Вы можете выбрать любой из пяти различных цветов корпуса. Кроме того, модель E01, как и все фонари Fenix, - имеет водонепроницаемость по стандарту IPX-8, а также корпус из авиационного алюминия с анти-абразивным покрытием III степени жесткости.</p>
<h3>Гарантия:</h3>
<p>Гарантийный срок установленный производителем - 2 года с даты продажи.</p>
<h3>Особенности модели:</h3>
<ul><li><span style=""font-size:13px;line-height:1"">&nbsp;</span><span style=""font-size:13px;line-height:1"">Светодиод Nichia white GS с ресурсом более 100.000 часов;</span></li><li><span style=""font-size:13px;line-height:1"">&nbsp;Вес модели всего 14 грамм;&nbsp;</span></li><li><span style=""font-size:13px;line-height:1"">&nbsp;Включение с помощью поворота головной части;&nbsp;</span></li><li><span style=""font-size:13px;line-height:1"">&nbsp;Можно установить на плоской поверхности как свечу;&nbsp;</span></li><li><span style=""font-size:13px;line-height:1"">&nbsp;Защита от неправильной установки элементов питания;&nbsp;</span></li><li><span style=""font-size:13px;line-height:1"">&nbsp;Поддержание постоянной яркости с помощью с помощью специального контроллера.</span></li></ul>";;{Fenix};;;;;;{желтый,черный,розовый,серый,синий};;71;14.2;;;;Fenix;13;"Nichia white GS";21;{AAA};1;;"авиационный алюминий";IPX-8;{карманный,брелок};"{""на каждый день""}";14;;;;;;
" Фонарь Fenix E01 Nichia white GS";розовый;"E01p ";;163;1;0;0;;fenix-e01-nichia-white-gs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" Фонарь Fenix E01 Nichia white GS";серый;E01g;;163;1;0;0;;fenix-e01-nichia-white-gs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" Фонарь Fenix E01 Nichia white GS";синий;E01bl;;163;1;0;0;;fenix-e01-nichia-white-gs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
" Фонарь Fenix E01 Nichia white GS";черный;E01b;;163;1;0;0;;fenix-e01-nichia-white-gs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
